sim_id,final_pnl,final_Vpi,total_trades
956,298644,-5.73789e+06,43
957,145110,672183,28
958,126805,204357,27
959,216571,-4.70622e+06,28
960,153814,3.45874e+06,24
961,209358,-3.36171e+06,28
962,179309,-108693,33
963,258767,8.90883e+06,31
964,286230,-1.87017e+06,40
965,176088,1.03133e+06,29
966,204315,7.23009e+06,32
967,234333,2.14709e+06,28
968,138478,658876,31
969,122689,59391.5,25
970,188878,5.42037e+06,31
971,197915,147117,38
972,255810,1.22955e+06,29
973,234257,-3.7673e+06,33
974,201580,-3.54761e+06,38
975,112557,739545,27
976,139560,-934393,21
977,138347,323687,24
978,183020,4.58506e+06,24
979,185546,1.8206e+06,30
